zip;state;city;lat;lng
35469;AL;Knoxville;32.982.423;-87.791.855
35470;AL;Coatopa;32.588.509;-88.173.592
35474;AL;Cypress;32.978.853;-87.615.134
35476;AL;Northport;33.283.425;-87.591.441
35480;AL;Ralph;33.062.868;-87.744.984
35481;AL;Reform;33.395.945;-88.020.277
35490;AL;Vance;3.317.498;-87.257.362
35501;AL;Jasper;33.871.672;-87.249.144
35540;AL;Addison;34.205.571;-87.194.766
35541;AL;Arley;34.063.234;-87.182.761
35542;AL;Bankston;3.370.083;-8.768.965
35543;AL;Bear Creek;34.213.469;-87.686.083
35544;AL;Beaverton;33.942.877;-8.801.567
35546;AL;Berry;33.694.485;-87.622.563
35548;AL;Brilliant;34.037.702;-87.756.315
35549;AL;Carbon Hill;33.909.252;-87.540.328
35550;AL;Cordova;33.768.033;-8.718.406
35552;AL;Detroit;34.010.874;-8.816.063
35553;AL;Double Springs;34.138.682;-87.397.431
35554;AL;Eldridge;33.931.546;-87.619.397
35555;AL;Fayette;33.697.397;-87.834.647
35563;AL;Guin;33.967.624;-8.790.238
35564;AL;Hackleburg;34.267.803;-87.860.762
35565;AL;Haleyville;34.231.423;-87.593.811
35570;AL;Hamilton;34.153.413;-88.008.521
35571;AL;Hodges;34.341.664;-87.959.023
35572;AL;Houston;34.118.042;-8.726.183
35574;AL;Kennedy;33.574.964;-8.805.172
35575;AL;Lynn;34.052.984;-87.539.814
35576;AL;Millport;3.354.013;-88.200.003
35578;AL;Nauvoo;33.929.859;-87.432.449
35579;AL;Oakman;33.700.174;-87.368.574
35580;AL;Parrish;33.721.307;-87.265.773
35581;AL;Phil Campbell;34.347.018;-87.715.431
35582;AL;Red Bay;34.451.259;-88.112.914
35585;AL;Spruce Pine;34.384.796;-87.712.149
35586;AL;Sulligent;338.549;-88.150.774
35587;AL;Townley;3.384.702;-87.437.248
35592;AL;Vernon;33.761.285;-88.097.919
35593;AL;Vina;3.437.116;-88.077.422
35594;AL;Winfield;33.930.256;-8.779.716
35601;AL;Decatur;34.589.599;-8.698.868
35603;AL;Decatur;34.548.417;-87.000.389
35610;AL;Anderson;34.951.777;-87.272.327
35611;AL;Athens;34.803.604;-86.970.733
